alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio
ABENI|ABENIR|ADENEI|ADENEIR|ADENI|ADENIR|ADENY|ADENYR,M,ABENEIR,,27,27,13770,ADENIR,1.0
ABENIL|ADENAEL|ADENAIL|ADENAL|ADENIEL|ADENIL|ADENOEL,M,ABENEL,,70,70,1732,ADENIL,1.0
ABENE|ADAENE|ADENE|ADENER,M,ABENER,,247,247,439,ABENER,1.0
ADENEVALDO,M,ABENEVALDO,,21,21,74,ADENEVALDO,1.0
ABENEIR|ABENIR|ADENEI|ADENEIR|ADENI|ADENIR|ADENY|ADENYR,M,ABENI,31,38,69,13770,ADENIR,0.5507246376811594
ADENIAS,M,ABENIAS,,32,32,349,ADENIAS,1.0
ADENICIO,M,ABENICIO,,83,83,460,ADENICIO,1.0
ABENEL|ADENAEL|ADENAIL|ADENAL|ADENIEL|ADENIL|ADENOEL,M,ABENIL,,61,61,1732,ADENIL,1.0
ABENAILDE|ADENAILDE|ADENILDE,F,ABENILDE,92,,92,2346,ADENILDE,1.0
ADENAILDES|ADENILDES,F,ABENILDES,59,,59,1175,ADENILDES,1.0
ABENALDO|ADENAILDO|ADENALDO|ADENILDO|ADENOALDO,M,ABENILDO,,417,417,6362,ADENILDO,1.0
ADENAILSON|ADENEILSON|ADENELSON|ADENIELSON|ADENILSOM|ADENILSON|ADENLSON,M,ABENILSON,,285,285,36222,ADENILSON,1.0
ABENAILTON|ADENAILTON|ADENILTOM|ADENILTON|ADENLTON,M,ABENILTON,,151,151,9771,ADENILTON,1.0
ADENILSA|ADENILZA,F,ABENILZA,34,,34,4510,ADENILZA,1.0
ABENEIR|ABENI|ADENEI|ADENEIR|ADENI|ADENIR|ADENY|ADENYR,M,ABENIR,39,127,166,13770,ADENIR,0.7650602409638554
ADENITA,F,ABENITA,43,,43,435,ADENITA,1.0
ADENISA|ADENIZA,F,ABENIZA,20,,20,443,ADENIZA,1.0
ADENISIA|ADENIZIA,F,ABENIZIA,21,,21,978,ADENISIA,1.0
,M,ABENONE,,23,23,23,ABENONE,1.0
ADENO|ADENOR,M,ABENOR,,111,111,2454,ADENOR,1.0
ABEROALDO|ADERALDO|ADERILDO|ADEROALDO,M,ABERALDO,,117,117,4190,ADERALDO,1.0
ADAERCIO|ADERCIO,M,ABERCIO,,57,57,696,ADERCIO,1.0
,M,ABERLADO,,694,694,694,ABERLADO,1.0
ADERLAM|ADERLAN,M,ABERLAN,,42,42,1232,ADERLAN,1.0
ADERLANDIA,F,ABERLANDIA,20,,20,217,ADERLANDIA,1.0
,M,ABERLARDO,,235,235,235,ABERLARDO,1.0
ADERLINDO,M,ABERLINDO,,20,20,103,ADERLINDO,1.0
ADERSOM|ADERSON|HADERSON,M,ABERSON,,31,31,5782,ADERSON,1.0
ADERVAL,M,ABERVAL,,27,27,1924,ADERVAL,1.0
ADETINO,M,ABETINO,,48,48,202,ADETINO,1.0
ADEVALDO,M,ABEVALDO,,22,22,6386,ADEVALDO,1.0
ADJAEL,F,ABGAIL,3545,86,3631,3696,ABGAIL,0.9763150647204627
ADGAIR|ADJAIR,F,ABGAIR,200,,200,1149,ADJAIR,1.0
ABNE|ABNER|ABNNER|ADNE|ADNER|HABNER,M,ABHNER,,39,39,14133,ABNER,1.0
ABEIR|ABIR|ADEI|ADEIR|ADEY|ADI|ADIR|ADUIR|ADY|ADYR|HADI|HADY,M,ABI,39,62,101,18895,ADIR,0.6138613861386139
ADAHIR|ADAHYR|ADAI|ADAIR|ADAY|ADAYR|ADIA|HABIA,F,ABIA,893,,893,35049,ADAIR,1.0
ABEL|ABIEL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL,F,ABIAIL,108,,108,42182,ABEL,1.0
ADAINA|ADIANA,F,ABIANA,84,,84,1146,ADIANA,1.0
ADAINE|ADIANE,F,ABIANE,67,,67,807,ADIANE,1.0
ADAIS|ADIAS,M,ABIAS,98,738,836,1088,ABIAS,0.8827751196172249
ABIATA,M,ABIATAR,,76,76,98,ABIATAR,1.0
ADIB|HABIB,M,ABIB,,64,64,670,ADIB,1.0
ADEIDA|ADIBA,F,ABIDA,106,,106,212,ABIDA,1.0
,M,ABIDAN,,22,22,22,ABIDAN,1.0
,M,ABIDAO,,90,90,90,ABIDAO,1.0
,M,ABIDENOR,,24,24,24,ABIDENOR,1.0
,M,ABIDERMAN,,40,40,40,ABIDERMAN,1.0
,M,ABIDIAS,,2334,2334,2334,ABIDIAS,1.0
ABIDAL|ABIDEL,M,ABIDIEL,,439,439,509,ABIDIEL,1.0
ABIDON,M,ABIDOM,,68,68,414,ABIDON,1.0
ABIDOM,M,ABIDON,,346,346,414,ABIDON,1.0
,M,ABIDORAL,,332,332,332,ABIDORAL,1.0
ABEL|ABIAIL|ABIL|ADAEL|ADAHIL|ADAHYL|ADAIL|ADAL|ADAYL|ADEIL|ADEL|ADIEL|ADIL|ADOEL|ADUIL|ADYEL|ADYL,M,ABIEL,,349,349,42182,ABEL,1.0
ABIESER,M,ABIEZER,,161,161,208,ABIEZER,1.0
ABIGAEL|ABIGAL|ABIGUAIL|HABIGAIL,F,ABIGAIL,10122,181,10303,10483,ABIGAIL,0.9824323012714743
ABIGAI|ADIJAIR,F,ABIGAIR,311,27,338,427,ABIGAIR,0.9201183431952663
,F,ABIGAIU,615,,615,615,ABIGAIU,1.0
ABIGAEL|ABIGAIL|ABIGUAIL|HABIGAIL,F,ABIGAL,87,,87,10483,ABIGAIL,1.0
ABELA|ABELAR|ABILHA|ABLA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA,F,ABILA,207,,207,20461,ADELAR,1.0
ADAILANE|ADEILANE|ADELANE|ADILANE|ADLANE,F,ABILANE,23,,23,1614,ADELANE,1.0
ADAILDE|ADALBER|ADEILDE|ADILDE,F,ABILDE,65,64,129,2832,ADEILDE,0.5038759689922481
ABELE|ADAILE|ADELE|ADELER|ADIELE|ADILE|ADILER|ADLE|ADLER|HADLER,M,ABILE,,44,44,2695,ADLER,1.0
ABLENE|ADALENE|ADELENE|ADILENE|ADLENE,F,ABILENE,973,21,994,3996,ADILENE,0.9788732394366197
ABELAIR|ABELIA|ADALHIA|ADALIA|ADELAI|ADELAIR|ADELHIA|ADELIA|ADILAI|ADILAIR|ADILIA|ADLAI|ADLAIR|ADLIA,F,ABILIA,553,,553,42957,ADELIA,1.0
ADALIANE|ADELAINE|ADELAYNE|ADELIANE|ADILAINE|ADILIANE|ADLAINE,F,ABILIANE,21,,21,3944,ADELAINE,1.0
ABELINO|ADALINO|ADELINO|ADILINO|ADLINO|ADOLINO,M,ABILINO,,34,34,26586,ADELINO,1.0
ABELIO|ABILHIO|ABLIO|ADAELIO|ADAILIO|ADALIO|ADELIO|ADILHIO|ADILIO|ADLIO|ADUILIO,M,ABILIO,35,13709,13744,25665,ABILIO,0.997453434225844
ABELO|ABELOR|ABILHO|ABLO|ADAILO|ADALHO|ADALO|ADELHO|ADELO|ADELOR|ADILHO|ADILO|ADILOR|ADUILO,M,ABILO,,307,307,2849,ADILHO,1.0
ABIMAIL|ABIMAL|ABIMEL|ABYMAEL|ADIMAEL,M,ABIMAEL,46,7464,7510,7798,ABIMAEL,0.9938748335552596
,F,ABIMAELE,21,,21,21,ABIMAELE,1.0
ADIMA|ADIMAR,M,ABIMAR,,95,95,2266,ADIMAR,1.0
,M,ABIMELEQUE,,36,36,36,ABIMELEQUE,1.0
ADEINA|ADINA|ADINAR|ADYNA,F,ABINA,76,,76,2781,ADINA,1.0
,M,ABINADA,,22,22,22,ABINADA,1.0
,M,ABINADAB,,82,82,82,ABINADAB,1.0
,M,ABINADABE,47,371,418,418,ABINADABE,0.8875598086124402
,M,ABINADABI,,84,84,84,ABINADABI,1.0
ABINAL|ABINEL|ABINOEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL,M,ABINAEL,,588,588,1857,ADINAEL,1.0
ADINAI|ADINAIR,F,ABINAIR,27,,27,360,ADINAIR,1.0
ADINAILDO|ADINALDO|ADINILDO,M,ABINALDO,,104,104,2081,ADINALDO,1.0
ABINER|ABYNER|ADEINE|ADINE|ADINER|HABINER,M,ABINE,21,230,251,1582,ABINER,0.9163346613545816
ABINAEL|ABINAL|ABINOEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL,M,ABINEL,,166,166,1857,ADINAEL,1.0
ABINE|ABYNER|ADEINE|ADINE|ADINER|HABINER,M,ABINER,,942,942,1582,ABINER,1.0
,F,ABINOA,44,33,77,77,ABINOA,0.5714285714285714
ABINOAN|ADINOAN,F,ABINOAM,32,25,57,290,ABINOAN,0.5614035087719298
ABINOAM|ADINOAN,M,ABINOAN,111,122,233,290,ABINOAN,0.5236051502145923
ABINAEL|ABINAL|ABINEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL,M,ABINOEL,,45,45,1857,ADINAEL,1.0
ADIO,M,ABIO,,89,89,184,ADIO,1.0
,F,ABIQUEILA,186,,186,186,ABIQUEILA,1.0
ADIRAN,M,ABIRAN,,21,21,96,ADIRAN,1.0
ABIZAEL|ADISOL,M,ABISAEL,,50,50,114,ABISAEL,1.0
ABIZAGUE,F,ABISAGUE,44,,44,67,ABISAGUE,1.0
ABISAIR|ABIZAI|ABIZAIR|ADISIA|ADIZIA,M,ABISAI,,78,78,214,ABISAI,1.0
ABISAI|ABIZAI|ABIZAIR|ADISIA|ADIZIA,M,ABISAIR,,41,41,214,ABISAI,1.0
,M,ABISALAO,,80,80,80,ABISALAO,1.0
,M,ABISMAEL,,76,76,76,ABISMAEL,1.0
ADEISOM|ADEISON|ADISOM|ADISON|ADIZON|ADYSON|HADISON,M,ABISON,,27,27,6085,ADISON,1.0
,M,ABISSALAO,,25,25,25,ABISSALAO,1.0
ADEIUDE,M,ABIUDE,54,62,116,149,ABIUDE,0.5344827586206896
ABISAEL|ADISOL,M,ABIZAEL,,43,43,114,ABISAEL,1.0
ABISAI|ABISAIR|ABIZAIR|ADISIA|ADIZIA,M,ABIZAI,,32,32,214,ABISAI,1.0
,F,ABKEILA,40,,40,40,ABKEILA,1.0
ABELA|ABELAR|ABILA|ABILHA|ADAILA|ADALA|ADALHA|ADEILA|ADELA|ADELAR|ADELHA|ADILA|ADILAR|ADILHA|ADLA|ADLAR|ADOLAR|ADYLA|HADILA|HADLA,F,ABLA,72,,72,20461,ADELAR,1.0
ABILENE|ADALENE|ADELENE|ADILENE|ADLENE,F,ABLENE,96,,96,3996,ADILENE,1.0
ADMAEL|ADMIL,M,ABMAEL,,3091,3091,3308,ABMAEL,1.0
ADHMAR|ADMA|ADMAR,M,ABMAR,,28,28,4374,ADMAR,1.0
ADMARIO,M,ABMARIO,,26,26,237,ADMARIO,1.0
ADNA|ADNAR|ADNNA|HADNA,F,ABNA,81,,81,7191,ADNA,1.0
,M,ABNADAB,,67,67,67,ABNADAB,1.0
,M,ABNADABE,,151,151,151,ABNADABE,1.0
ABNEL|ABNOEL|ADNAEL|ADNEL|ADNIL|ADNOEL,M,ABNAEL,,307,307,1051,ADNAEL,1.0
ABHNER|ABNER|ABNNER|ADNE|ADNER|HABNER,M,ABNE,40,795,835,14133,ABNER,0.9520958083832335
ABNAEL|ABNOEL|ADNAEL|ADNEL|ADNIL|ADNOEL,M,ABNEL,,139,139,1051,ADNAEL,1.0
ABHNER|ABNE|ABNNER|ADNE|ADNER|HABNER,M,ABNER,150,12421,12571,14133,ABNER,0.9880677750377854
ABNEI|ABNIR|ADNEI|ADNEY|ADNI|ADNIR|ADNY,M,ABNI,,62,62,1260,ADNEI,1.0
ABNALDO|ADNAILDO|ADNALDO|ADNILDO,M,ABNILDO,,29,29,1789,ADNALDO,1.0
ABHNER|ABNE|ABNER|ADNE|ADNER|HABNER,M,ABNNER,,80,80,14133,ABNER,1.0
ABNOAN,F,ABNOAM,27,,27,221,ABNOAN,1.0
ABNOAM,F,ABNOAN,100,94,194,221,ABNOAN,0.5154639175257731
ABNAEL|ABNEL|ADNAEL|ADNEL|ADNIL|ADNOEL,M,ABNOEL,,37,37,1051,ADNAEL,1.0
ADRA,M,ABRAA,,168,168,369,ADRA,1.0
ABRAAN|ABRAHAM|ABRAHAN|ABRAM|ABRAN|ADRAN,M,ABRAAM,,21,21,670,ABRAHAM,1.0
AABRAO|ABRAHAO|ABRAO|ABRHAO|ABRRAO|ADRAAO|ADRAO|HABRAAO|HABRAO,M,ABRAAO,111,21061,21172,32296,ABRAAO,0.9947572265255998
ABRAAM|ABRAAN|ABRAHAN|ABRAM|ABRAN|ADRAN,M,ABRAHAM,,236,236,670,ABRAHAM,1.0
ABRAAM|ABRAAN|ABRAHAM|ABRAM|ABRAN|ADRAN,M,ABRAHAN,,71,71,670,ABRAHAM,1.0
AABRAO|ABRAAO|ABRAO|ABRHAO|ABRRAO|ADRAAO|ADRAO|HABRAAO|HABRAO,M,ABRAHAO,,859,859,32296,ABRAAO,1.0
ABRAIM|ABRAIN|ADRIAM|ADRIAN|ADRIANN|ADRYAM|ADRYAN|ADRYANN|HADRIAN|HADRYAN,M,ABRAHIM,,47,47,34707,ADRIAN,1.0
ABRAHIM|ABRAIN|ADRIAM|ADRIAN|ADRIANN|ADRYAM|ADRYAN|ADRYANN|HADRIAN|HADRYAN,M,ABRAIM,,179,179,34707,ADRIAN,1.0
ABRAHIM|ABRAIM|ADRIAM|ADRIAN|ADRIANN|ADRYAM|ADRYAN|ADRYANN|HADRIAN|HADRYAN,M,ABRAIN,,148,148,34707,ADRIAN,1.0
ABRAAM|ABRAAN|ABRAHAM|ABRAHAN|ABRAN|ADRAN,M,ABRAM,,90,90,670,ABRAHAM,1.0
,M,ABRAMO,,141,141,141,ABRAMO,1.0
,M,ABRANTES,,31,31,31,ABRANTES,1.0
AABRAO|ABRAAO|ABRAHAO|ABRHAO|ABRRAO|ADRAAO|ADRAO|HABRAAO|HABRAO,M,ABRAO,60,9935,9995,32296,ABRAAO,0.9939969984992496
ABRILINA|ADRELINA,F,ABRELINA,143,,143,740,ADRELINA,1.0
ABRILINO|ADRELINO,M,ABRELINO,,701,701,1091,ABRELINO,1.0
,M,ABREU,27,262,289,289,ABREU,0.9065743944636678
ABRELINA|ADRELINA,F,ABRILINA,74,,74,740,ADRELINA,1.0
ABRELINO|ADRELINO,M,ABRILINO,,183,183,1091,ABRELINO,1.0
ABSAIL,M,ABSAEL,,27,27,27,ABSAEL,1.0
ABSAIR,M,ABSAI,,41,41,181,ABSAIR,1.0
ABSAI,M,ABSAIR,,140,140,181,ABSAIR,1.0
,M,ABSALAO,,425,425,425,ABSALAO,1.0
ABSOLOM|ABSOLON,M,ABSALON,,77,77,292,ABSOLON,1.0
ABSALON|ABSOLOM,M,ABSOLON,,190,190,292,ABSOLON,1.0
ADSOM|ADSON|ADZON|HADSON,M,ABSON,,226,226,13436,ADSON,1.0
,M,ABUD,,31,31,31,ABUD,1.0
ABIMAEL|ABIMAIL|ABIMAL|ABIMEL|ADIMAEL,M,ABYMAEL,,25,25,7798,ABIMAEL,1.0
AKACIA,F,ACACIA,2643,,2643,2688,ACACIA,1.0
AKACIO,M,ACACIO,33,8085,8118,8205,ACACIO,0.9959349593495935
,M,ACADIO,,38,38,38,ACADIO,1.0
,M,ACAIO,,48,48,48,ACAIO,1.0
,M,ACARCIO,,20,20,20,ACARCIO,1.0
ACARY,M,ACARI,,92,92,122,ACARI,1.0
ACARI,M,ACARY,,30,30,122,ACARI,1.0
AKASIO,M,ACASIO,,1342,1342,1367,ACASIO,1.0
AKASSIA,F,ACASSIA,1258,,1258,1305,ACASSIA,1.0
,M,ACASSIANO,,32,32,32,ACASSIANO,1.0
AKASSIO,M,ACASSIO,20,4107,4127,4205,ACASSIO,0.9951538647928277
AKATIA,F,ACATIA,39,,39,71,ACATIA,1.0
AKAUA,M,ACAUA,,201,201,273,ACAUA,1.0
AKAUAN,M,ACAUAN,,106,106,169,ACAUAN,1.0
,M,ACAZ,,50,50,50,ACAZ,1.0
,M,ACCACIO,,95,95,95,ACCACIO,1.0
,M,ACEBIAS,,51,51,51,ACEBIAS,1.0
,F,ACEDINA,84,,84,84,ACEDINA,1.0
,M,ACEDIR,,61,61,61,ACEDIR,1.0
ACI|ACIR|ACY|ACYR|AKI,M,ACEIR,,32,32,5973,ACIR,1.0
ACIEL|ACIL|ACIOL|AKEL|AKIL,M,ACEL,,32,32,296,ACIEL,1.0
ACILA|ACLA|AKILA|AKLA|AKUILA|AKYLA|HAKILA,F,ACELA,67,,67,1572,AKILA,1.0
ACELIR|ACELY|ACEOLI|ACIELI|ACIOLI|ACIOLY|ACLEI|AKELI,F,ACELI,193,42,235,677,ACIOLI,0.8212765957446808
ACILIA|ACLAIR,F,ACELIA,337,,337,641,ACELIA,1.0
ACILINA|ACIOLINA,F,ACELINA,978,,978,1083,ACELINA,1.0
AKELINE,F,ACELINE,22,,22,73,AKELINE,1.0
ACILINO|ACIOLINO|ACYLINO,M,ACELINO,,2604,2604,2873,ACELINO,1.0
ACILIO,M,ACELIO,,553,553,821,ACELIO,1.0
ACELI|ACELY|ACEOLI|ACIELI|ACIOLI|ACIOLY|ACLEI|AKELI,F,ACELIR,23,,23,677,ACIOLI,1.0
,M,ACELMO,,325,325,325,ACELMO,1.0
ACILOM|ACILON,M,ACELON,,36,36,495,ACILON,1.0
,M,ACELSO,,22,22,22,ACELSO,1.0
,M,ACEMAR,,149,149,149,ACEMAR,1.0
AKEMI|AKEMY,M,ACEMIR,,124,124,1219,AKEMI,1.0
,F,ACENATE,36,,36,36,ACENATE,1.0
,F,ACENDINA,91,,91,91,ACENDINA,1.0
,M,ACENDINO,,400,400,400,ACENDINO,1.0
ACENIR|AKENI,F,ACENI,30,24,54,289,ACENIR,0.5555555555555556
,M,ACENIL,,29,29,29,ACENIL,1.0
,F,ACENILDA,66,,66,66,ACENILDA,1.0
,F,ACENILDE,28,,28,28,ACENILDE,1.0
,M,ACENILDO,,176,176,176,ACENILDO,1.0
,M,ACENILTON,,27,27,27,ACENILTON,1.0
ACENI|AKENI,M,ACENIR,78,130,208,289,ACENIR,0.625
ACENO,M,ACENOR,,93,93,197,ACENO,1.0
,M,ACER,,38,38,38,ACER,1.0
,M,ACETIDES,,53,53,53,ACETIDES,1.0
ASHILA,F,ACHILA,68,,68,134,ACHILA,1.0
,M,ACHILES,,560,560,560,ACHILES,1.0
ACHELEY|ACHILEI|ACHLEY|ASHALEY|ASHELEI|ASHELEY|ASHELY|ASHILEI|ASHILEY|ASHILY|ASHLEI|ASHLEY|ASHLY|ASHYLEI|ASHYLEY,F,ACHILEY,87,,87,3899,ASHLEY,1.0
,M,ACHILIS,,36,36,36,ACHILIS,1.0
,M,ACHILLE,,37,37,37,ACHILLE,1.0
ACHYLLES,M,ACHILLES,,262,262,294,ACHILLES,1.0
ACHELEY|ACHILEI|ACHILEY|ASHALEY|ASHELEI|ASHELEY|ASHELY|ASHILEI|ASHILEY|ASHILY|ASHLEI|ASHLEY|ASHLY|ASHYLEI|ASHYLEY,F,ACHLEY,20,,20,3899,ASHLEY,1.0
ACHILLES,M,ACHYLLES,,32,32,294,ACHILLES,1.0
ACEIR|ACIR|ACY|ACYR|AKI,M,ACI,122,198,320,5973,ACIR,0.61875
,F,ACIARA,56,,56,56,ACIARA,1.0
